munisid,muni_name,autonomia,province,adj_impact,gdppc,religious,c_secondplus,trust2,log_pop,age,class_upper,civil_married,longitude,latitude,dist_river,dist_sea
4919,Alp,9,17,0,20600.005859375,NA,0.7915999889373779,NA,7.415174961090088,NA,NA,NA,1.935764193534851,42.34675979614258,224.1472625732422,127.72671508789062
4920,Malpica de Tajo,7,45,0.003246753243729472,17068.564453125,1.8181818723678589,0.262800008058548,NA,7.555381774902344,46.54545593261719,0,NA,-4.581284999847412,39.884803771972656,4.4379730224609375,446.8999328613281
4921,Manzaneque,7,45,0.006493506487458944,19454.86328125,NA,0.2290000021457672,NA,5.9964518547058105,NA,NA,NA,-3.794513463973999,39.640899658203125,38.01741027832031,386.17645263671875
4922,Maqueda,7,45,0.0714285746216774,19290.658203125,NA,0.3911999762058258,NA,6.210599899291992,NA,NA,NA,-4.365626335144043,40.078460693359375,29.851558685302734,457.7641906738281
4923,Marjaliza,7,45,0.012987012974917889,18496.052734375,NA,0.32710000872612,NA,5.693732261657715,NA,NA,NA,-3.9679532051086426,39.54867935180664,44.07103729248047,394.32769775390625
4924,Montearagón,7,45,0,19965.837890625,NA,0.3841000199317932,NA,6.300786018371582,NA,NA,NA,-4.633647441864014,39.955997467041016,1.4604911804199219,457.8641662597656
4925,Marrupe,7,45,0.003246753243729472,19858.77734375,NA,0.37599998712539673,NA,5.081404209136963,NA,NA,NA,-4.803360462188721,40.09034729003906,18.447946548461914,446.0489807128906
4926,"Mata, La",7,45,0.003246753243729472,18784.203125,3.299999952316284,0.3109000027179718,NA,6.871091365814209,51.5,0.25,NA,-4.4499335289001465,39.92783737182617,7.1000895500183105,451.4933166503906
4927,Mazarambroz,7,45,0.012987012974917889,17374.669921875,NA,0.460099995136261,NA,7.156176567077637,46.25,0,NA,-4.079580307006836,39.646297454833984,30.13288688659668,408.968017578125
4928,Mascaraque,7,45,0.019480518996715546,18848.69140625,NA,0.34579998254776,NA,6.2045578956604,NA,NA,NA,-3.8023152351379395,39.74518966674805,25.054044723510742,388.48052978515625
4929,Mejorada,7,45,0.019480518996715546,18394.337890625,NA,0.45229998230934143,NA,7.185387134552002,NA,NA,NA,-4.9170002937316895,40.016178131103516,12.568968772888184,436.0412292480469
4930,Mesegar de Tajo,7,45,0.006493506487458944,19751.00390625,NA,0.22110000252723694,NA,5.41610050201416,NA,NA,NA,-4.501260280609131,39.921165466308594,2.6807310581207275,451.0950012207031
4931,Menasalbas,7,45,0.019480518996715546,16738.76953125,NA,0.32520002126693726,NA,7.9854841232299805,NA,NA,NA,-4.356825351715088,39.61613464355469,26.806640625,405.8183898925781
4932,Méntrida,7,45,0.022727273404598236,18716.6171875,1.75,0.48910000920295715,NA,8.512381553649902,47.75,0,0.75,-4.183851718902588,40.23288345336914,50.23226547241211,442.5789794921875
4933,Mocejón,7,45,0.016233766451478004,20226.21484375,NA,0.44269999861717224,NA,8.48508358001709,NA,NA,NA,-3.9092602729797363,39.92546844482422,1.980565071105957,404.0350646972656
4934,Mohedas de la Jara,7,45,0.003246753243729472,18165.60546875,NA,0.3116999864578247,NA,6.124683380126953,NA,NA,NA,-5.1470866203308105,39.59659957885742,25.392093658447266,395.22894287109375
4935,Montesclaros,7,45,0.003246753243729472,18186.0078125,2.545454502105713,0.3845999836921692,NA,6.098074436187744,51.272727966308594,0,0.5,-4.930001258850098,40.09138488769531,22.45777130126953,432.3298034667969
4936,"Nava de Ricomalillo, La",7,45,0,17964.556640625,2.299999952316284,0.3418000042438507,NA,6.3868794441223145,50.79999923706055,0,NA,-4.996148586273193,39.64723587036133,19.160850524902344,409.656005859375
4937,"Armentera, L'",9,17,0,20175.826171875,1,0.6069999933242798,NA,6.8035054206848145,53.099998474121094,0.4000000059604645,0.6000000238418579,3.0855019092559814,42.16563034057617,311.17913818359375,3.0858030319213867
4938,Mora,7,45,0.0357142873108387,15775.78515625,1.7872340679168701,0.40689998865127563,0.40147531032562256,9.241353988647461,46.53125,0.2222222238779068,0.6315789222717285,-3.7367241382598877,39.688316345214844,35.509063720703125,380.3560485839844
4939,Nambroca,7,45,0.003246753243729472,17473.591796875,0.8399999737739563,0.6523000001907349,0.1516091227531433,8.386173248291016,43.31999969482422,0.25,0.5600000023841858,-3.91827130317688,39.79841613769531,11.574522972106934,402.2330627441406
4940,Navahermosa,7,45,0,16507.55078125,NA,0.3937000036239624,NA,8.287025451660156,48.588233947753906,0,NA,-4.477142810821533,39.65452575683594,26.179494857788086,412.5556945800781
4941,Navalcán,7,45,0.003246753243729472,16976.42578125,2.3333332538604736,0.34759998321533203,NA,7.675546169281006,52.22222137451172,0,0.7777777910232544,-5.101437091827393,40.08808135986328,34.96152877807617,413.8423767089844
4942,Navalmoralejo,7,45,0,19604.240234375,NA,0.21540001034736633,NA,4.248495101928711,NA,NA,NA,-5.123941898345947,39.74448013305664,5.540234565734863,415.35467529296875
